timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,read_cycles_samples,write_cycles_samples,flush_cycles_samples,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
5004042,2500983,0,0,111875,32891,12,0,0,437,0,0,894932,4,0,109735,0,2136,0,247,0,14259,13,1551255,0,0,0,2992882,2525140,0,0,0,13,316823,2135
10009882,2502991,0,0,112521,28129,68,0,0,439,0,0,899573,53,0,103629,0,8839,0,85,0,15212,59,1666802,0,0,0,2996117,5030317,0,0,0,72,630931,8829
15015506,2502611,0,0,150997,27528,64,0,0,590,0,0,1207434,50,0,141753,0,9194,0,267,0,20060,58,2237024,0,0,0,2994603,7813351,0,0,0,130,980493,9190
20019690,2503147,0,0,171465,26733,24,0,0,670,0,0,1371474,22,0,167561,0,3882,0,43,0,21937,22,2447914,0,0,0,2996931,11260530,0,0,0,284,1413125,3877
25020682,2500616,0,0,216102,24396,22,0,0,844,0,0,1728572,24,0,212074,0,4004,0,207,0,27529,29,3196222,0,0,0,2993939,15160429,0,0,0,369,1902178,4001
30023096,2501235,0,0,225871,23555,78,0,0,883,0,0,1806277,65,0,216063,0,9743,0,394,0,29493,70,3312643,0,0,0,2994155,19506130,0,0,0,460,2448165,9739
35025445,2500813,0,0,276625,20765,54,0,0,1080,0,0,2212552,40,0,267464,0,9121,0,84,0,35746,40,4046077,0,0,0,2993185,24269608,0,0,0,565,3045502,9111
40027407,2501104,0,0,278418,26778,98,48,0,1086,2,0,2226460,80,0,175128,0,103210,0,317,0,47766,89,5688132,0,0,0,2994896,28949615,0,0,0,713,3632553,103203
45029672,2501521,0,0,284928,31809,0,0,0,1113,0,0,2279424,0,0,0,0,284928,0,0,0,71234,0,8873729,0,0,0,2994668,33512559,0,0,0,713,4204183,284927
50031566,2501537,53189,9479,23834,2885,2572,65,203,100,3,392708,165010,56630,0,1640,0,18753,0,27,0,6258,20244,963987,0,0,0,2994257,35436625,0,2165,0,31654,4458252,21816
55038300,2500010,47113,9062,33880,5847,6938,253,179,142,9,340362,247145,50251,0,5297,0,25445,0,18,0,8390,20300,1235813,0,0,0,2993332,36562491,0,4740,0,68649,4620197,31640
60039271,2500325,52462,6199,182831,13037,2162,56,209,711,3,383276,1460975,53191,0,181579,0,523,0,1962,0,23075,23669,2631901,0,0,0,2992996,41149014,0,6476,0,92498,5202611,15527
65041622,2501293,1746,331,296741,22258,10,0,8,1158,0,13786,2373836,1758,0,296729,0,0,0,4,0,37110,290,4136693,0,0,0,2993902,46135755,0,6930,0,105145,5830654,8
70042647,2500306,2621,359,294072,26147,10,0,10,1149,0,20639,2352502,2631,0,294062,0,0,0,6,0,36765,442,4106397,0,0,0,2992434,51190560,0,7007,0,111742,6464855,7
75044915,2500357,50481,5719,226549,17292,206,0,200,883,0,397954,1810229,50770,0,225846,0,414,0,115,0,28501,8560,3267246,0,0,0,2993824,56183730,0,7125,0,120623,7091629,537
80048347,2501038,2449,165,297299,37221,28,0,9,1162,0,19214,2378121,2486,0,297262,0,0,0,14,0,37179,446,4121491,0,0,0,2994331,61379832,0,7139,0,121546,7742751,14
85049445,2500092,3043,232,298754,21315,28,0,12,1167,0,23938,2389714,3085,0,298551,0,161,0,13,0,37384,576,4156804,0,0,0,2993633,66355101,0,7308,0,133163,8368230,173
90051441,2500714,2821,201,301290,22698,12,0,11,1177,0,22281,2410144,2845,0,301266,0,0,0,11,0,37670,475,4188897,0,0,0,2993918,71662485,0,7320,0,134117,9033182,7
95053848,2501572,5020,674,292141,22226,56,0,20,1140,0,39299,2336530,5102,0,291932,0,127,0,27,0,36565,975,4118545,0,0,0,2994520,76448293,0,7541,0,149105,9635815,153
100056942,2501685,539,36,302562,21623,2,0,2,1182,0,4214,2420475,542,0,302559,0,0,0,2,0,37825,104,4218254,0,0,0,2992587,81612049,0,7553,0,149843,10282805,3
