timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
200783227,5015137,0,0,525278,10393460,0,0,0,4202224,0,0,523098,0,2180,0,34,0,49180,0,6897554,0,206359,6355717,3183252,110965176,75835076,0,0,0,262675,2182
207476871,5019979,0,0,523264,10325618,0,0,0,4186112,0,0,523264,0,0,0,0,0,15549,0,6503838,0,194537,5967934,5866486,114651280,78360327,0,0,0,260402,3
214169864,5013395,0,0,527360,10420226,0,0,0,4218880,0,0,527360,0,0,0,4096,0,21967,0,3636131,0,130031,8771241,5884499,118485136,80936827,0,0,0,264779,2
220863586,5018288,0,0,520155,10217522,0,0,0,4161240,0,0,517735,0,2420,0,37,0,33058,0,2734790,16,329397,6143841,3165674,122245264,83498230,0,0,0,263722,2421
227556878,5020753,0,0,513024,10267580,0,0,0,4104192,0,0,513024,0,0,0,0,0,53721,0,3314961,0,384369,6732503,593760,125824680,85984493,0,0,0,258590,4
234247270,5018217,0,0,528384,10404022,0,0,0,4227072,0,0,528384,0,0,0,4096,0,63617,0,3608444,0,448401,4769618,4938250,129633960,88561022,0,0,0,265769,2
240940046,5016723,0,0,526336,10362984,0,0,0,4210688,0,0,526336,0,0,0,0,0,48360,0,4448980,0,403450,7066391,5877409,133402280,91124470,0,0,0,263727,1
247624610,5012792,0,0,525312,10376150,0,0,0,4202496,0,0,525312,0,0,0,0,0,42015,0,4819215,0,267695,6271460,5878631,137121096,93688612,0,0,0,265783,2
254346032,5046521,0,0,277504,15327806,0,0,0,2220032,0,0,277504,0,0,0,2048,0,817,17024,361108,43545342,181948,3796846,5894817,140963144,96267190,0,0,0,264744,2
261044136,5024514,0,0,525312,10177530,0,0,0,4202496,0,0,525312,0,0,0,0,0,17427,0,3552685,0,170049,8278454,2957915,144780616,98842936,0,0,0,263749,2
267730543,5014230,0,0,522196,10411250,0,0,0,4177568,0,0,519325,0,2871,0,2092,0,38673,0,2349877,0,352278,6528160,383164,148565320,101423554,0,0,0,265782,2873
274436583,5027766,0,0,528384,10380396,0,0,0,4227072,0,0,528384,0,0,0,0,0,57633,0,4334021,0,438052,7906068,556726,152431944,104006248,0,0,0,262575,2
281139938,5026922,0,0,525312,10181168,0,0,0,4202496,0,0,525312,0,0,0,0,0,57313,0,3639466,0,397225,9344749,3593327,156331336,106627067,0,0,0,267814,1
287839179,5027823,0,0,523264,10341554,0,0,0,4186112,0,0,523264,0,0,0,2048,0,44991,0,6218176,1,177516,6031528,5890342,160008992,109156643,0,0,0,261699,1
294526472,5015993,0,0,518144,10333420,0,0,0,4145152,0,0,518144,0,0,0,0,0,9112,0,4794229,8,193458,5022043,5847151,163875616,111745454,0,0,0,263736,2
301217130,5017798,0,0,516096,10223540,0,0,0,4128768,0,0,516096,0,0,0,2048,0,17785,0,3451792,14,377352,5607816,5889607,167570208,114272029,0,0,0,260622,2
307917798,5023278,0,0,522129,10372410,0,0,0,4177032,0,0,513072,0,9057,0,1135,0,46219,0,1442864,0,353006,6938412,4342043,171379152,116864120,0,0,0,266817,9059
314606668,5015460,0,0,527360,10247078,0,0,0,4218880,0,0,527360,0,0,0,0,0,57565,0,4077993,0,425741,9317253,394068,175163856,119420152,0,0,0,261605,3
321299783,5021483,0,0,509952,10099038,0,0,0,4079616,0,0,509952,0,0,0,4096,0,52565,0,6118394,0,179822,6027250,3962049,178817488,121944677,0,0,0,263585,2
328004234,5027987,0,0,531320,10400006,0,0,0,4250560,0,0,522584,0,8736,0,136,0,20040,0,6213209,13,197727,5031426,5929306,182584720,124528983,0,0,0,265795,8737
334690877,5014738,0,0,509910,10122330,0,0,0,4079280,0,0,505328,0,4582,0,1066,0,1405,0,3339810,16,436392,4814987,5883223,186385808,127095574,0,0,0,262682,4584
341388006,5022717,0,0,513024,10339982,0,0,0,4104192,0,0,513024,0,0,0,0,0,50574,0,2029421,0,345689,6812620,2544236,190260624,129685662,0,0,0,263681,0
348085447,5026097,0,0,521140,10361620,0,0,0,4169120,0,0,516221,0,4919,0,2124,0,60853,0,2962510,0,370159,8824551,378173,194044720,132239970,0,0,0,260405,4921
354783355,5022770,0,0,516032,10128142,0,0,0,4128256,0,0,511936,0,4096,0,64,0,62283,0,6246215,17,176485,6617091,757546,197804848,134802134,0,0,0,263743,4098
361473598,5014627,0,0,520192,10319794,0,0,0,4161536,0,0,520192,0,0,0,2048,0,13215,0,5654453,0,211504,4684417,5876724,201630512,137375835,0,0,0,264750,2
368178371,5027204,0,0,518144,10246434,0,0,0,4145152,0,0,518144,0,0,0,0,0,4481,0,4590503,8,314552,4549269,5927914,205398832,139940077,0,0,0,263467,2
374868023,5014882,0,0,499636,9991342,0,0,0,3997088,0,0,494717,0,4919,0,76,0,40052,0,3276120,12,340883,6668055,5525840,209101616,142420322,0,0,0,252434,4921
381556575,5017516,0,0,526336,10296244,0,0,0,4210688,0,0,526336,0,0,0,0,0,63682,0,3284066,0,381852,10610260,400047,212803928,144967285,0,0,0,263741,1
388255112,5026739,0,0,536576,9843934,0,0,0,4292608,0,0,536576,0,0,0,2048,0,66953,0,3613678,0,309379,9406099,569458,216654168,147566350,0,0,0,267817,2
394950750,5023703,0,0,500736,9946348,0,0,0,4005888,0,0,500736,0,0,0,2048,0,22299,0,6006137,0,179183,5526315,5835641,220397912,150071178,0,0,0,256397,2
401654519,5027294,0,0,527301,10379562,0,0,0,4218408,0,0,523474,0,3827,0,2107,0,1782,0,4183697,0,397963,4738651,5896461,224264536,152665362,0,0,0,264764,3828
408344891,5018055,0,0,525312,10359888,0,0,0,4202496,0,0,525312,0,0,0,0,0,17815,0,3628234,9,409865,5367827,5924955,228041048,155207077,0,0,0,259491,2
415036138,5015887,0,0,508928,9971994,0,0,0,4071424,0,0,508928,0,0,0,2048,0,32807,0,4973856,0,266323,7399756,587386,231727448,157691746,0,0,0,255443,1
421725072,5013204,0,0,526336,10174300,0,0,0,4210688,0,0,526336,0,0,0,0,0,41273,0,4072654,0,356957,8469678,540056,235610456,160302327,0,0,0,266803,2
428421547,5024091,0,0,520192,10313166,0,0,0,4161536,0,0,520192,0,0,0,0,0,57949,0,4188946,0,407929,6142526,2893234,239197480,162839644,0,0,0,266795,2
435110251,5017451,0,0,513024,10062320,0,0,0,4104192,0,0,513024,0,0,0,2048,0,25739,23,6554477,15,185595,1870839,5832680,242883880,165305562,0,0,0,252429,1
441803277,5019920,0,0,525312,10388472,0,0,0,4202496,0,0,525312,0,0,0,0,0,36953,0,3588440,1,200431,5597108,5900987,246766888,167897697,0,0,0,263703,2
448502167,5024677,0,0,530432,10440692,0,0,0,4243456,0,0,530432,0,0,0,0,0,43063,0,3657940,12,236183,6551410,3638927,250461136,170449557,0,0,0,264767,2
455195546,5017296,0,0,510908,10052048,0,0,0,4087264,0,0,506556,0,4352,0,2116,0,30941,0,4667932,9,309399,10901347,689142,254245840,172964647,0,0,0,256549,4353
461895036,5023937,0,0,525290,10368268,0,0,0,4202320,0,0,523847,0,1443,0,2070,0,26571,0,4019559,0,356939,7431386,4671870,257914656,175505133,0,0,0,263761,1444
468591856,5021827,0,0,520192,10345188,0,0,0,4161536,0,0,520192,0,0,0,0,0,26048,0,3585658,0,354855,5391305,5916324,261510344,178007759,0,0,0,260634,2
475284738,5021445,0,0,518144,9998066,0,0,0,4145152,0,0,518144,0,0,0,2048,0,41970,0,5411218,0,238063,4632209,532196,265295048,180535115,0,0,0,258570,1
481971609,5015263,0,0,497664,10227118,0,0,0,3981312,0,0,497664,0,0,0,2048,0,53831,0,3214964,0,293501,9958860,394872,268973256,182922431,0,0,0,238069,2
488661920,5018714,0,0,503676,10127678,0,0,0,4029408,0,0,495175,0,8501,0,132,0,51789,0,3722674,0,254391,6460705,2913864,272439168,185275953,0,0,0,241080,8503
495353949,5015954,0,0,500661,10107070,0,0,0,4005288,0,0,495847,0,4814,0,2123,0,10954,0,6271855,11,301141,6901040,5836550,276027264,187647752,0,0,0,239111,4816
