timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,read_cycles_samples,write_cycles_samples,flush_cycles_samples,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
141320966,2500902,0,0,300041,21421,52,0,0,1172,0,0,2399788,48,0,291766,0,8227,0,477,0,38566,70,4281603,0,0,0,2994113,124344605,0,8835,0,230164,15649769,8223
146325117,2502666,0,0,297380,21471,78,0,0,1162,0,0,2378349,65,0,286888,0,10427,0,565,0,38518,73,4284745,0,0,0,2995419,129604618,0,8835,0,230237,16308047,10423
151326440,2500564,0,0,297173,21315,106,0,0,1161,0,0,2376451,83,0,279458,0,17632,0,246,0,39412,101,4433836,0,0,0,2993424,134885907,0,8835,0,230408,16970090,17618
156329416,2501595,0,0,295936,21584,0,0,0,1156,0,0,2367488,0,0,0,0,295936,0,0,0,74013,0,7979765,0,0,0,2993316,139961135,0,8835,0,230506,17604258,295935
161339251,2508464,32704,4901,142236,14457,1804,40,130,555,2,247904,1123561,34521,0,1684,0,138735,0,30,0,35710,10759,4208879,0,0,0,3002667,143675512,0,9470,0,241265,18073905,140296
166351886,2509007,38499,8705,36422,6959,7238,162,158,141,7,280391,265393,41700,0,2074,0,31147,0,52,0,9591,16700,1447188,0,0,0,3003590,144806700,0,12295,0,279331,18234139,36274
171353179,2500764,0,0,311296,22178,0,0,0,1216,0,0,2490368,179,0,311117,0,0,0,0,0,38973,186,4310475,0,0,0,2994159,148090107,0,13810,0,298811,18652451,141
176354701,2500896,39117,4669,255705,22763,558,0,154,999,0,306456,2044080,39464,0,255358,0,0,0,323,0,32079,7272,3593911,0,0,0,2994110,152738114,0,16098,0,333245,19240630,1152
181356202,2501205,36313,2683,259211,22351,156,0,144,1011,0,286073,2072007,36540,0,258984,0,0,0,78,0,32482,6262,3648722,0,0,0,2994678,158020555,0,16186,0,339603,19902235,181
186358541,2501835,1669,134,303738,27567,0,0,7,1186,0,13289,2429904,1669,0,303738,0,0,0,1,0,37968,260,4180655,0,0,0,2995204,163373243,0,16195,0,340363,20572696,3
191361225,2502214,1333,89,299972,21645,6,0,5,1172,0,10419,2399674,1347,0,299958,0,0,0,4,0,37503,240,4167442,0,0,0,2995791,168544033,0,16305,0,349262,21221615,6
196364664,2502719,542,36,305631,21698,4,0,2,1194,0,4238,2444999,549,0,305624,0,0,0,1,0,38210,101,4219807,0,0,0,2996510,173619721,0,16467,0,360683,21859507,3
201367318,2501607,2664,199,305550,22664,8,0,11,1193,0,21067,2444291,2679,0,305535,0,0,0,6,0,38198,383,4250566,0,0,0,2994839,178961422,0,16478,0,361854,22526693,4
206369466,2501444,42502,3673,242095,19820,310,0,165,947,0,333261,1933348,42966,0,241504,0,127,0,176,0,30454,7885,3469443,0,0,0,2994574,183950130,0,16709,0,377036,23154646,284
211370820,2500922,1480,108,300072,27571,16,0,6,1172,0,11602,2400383,1507,0,299865,0,180,0,8,0,37545,306,4155183,0,0,0,2993888,189307857,0,16723,0,378010,23825930,188
216374330,2502469,106190,11222,146032,11976,642,89,411,572,4,833840,1161555,107097,0,145125,0,0,0,385,0,18610,18907,2282642,0,0,0,2996485,194210438,0,17053,0,397627,24443616,346
221375787,2501163,4821,369,299524,22857,38,0,20,1169,0,37763,2395829,4870,0,299460,0,15,0,20,0,37468,870,4149624,0,0,0,2994616,199552818,0,17089,0,399730,25113120,35
226377764,2500805,7661,549,298973,21973,72,0,30,1168,0,60210,2391406,7711,0,298882,0,41,0,18,0,37398,1298,4142216,0,0,0,2994101,204466764,0,17389,0,420543,25732329,96
231379243,2500980,6754,651,297066,21152,48,0,29,1157,0,52982,2376031,6821,0,296999,0,0,0,28,0,37163,1316,4124475,0,0,0,2994238,209776197,0,17422,0,422622,26396568,24
236382173,2501566,189414,14688,37633,2705,924,30,741,147,1,1489713,291087,190765,0,36230,0,52,0,587,0,5243,34281,897914,0,0,0,2995402,214470297,0,17979,0,457772,26989915,564
244134610,2501635,0,0,324910,26153,70,0,0,1269,0,0,2598673,53,0,315704,0,9153,0,86,0,38611,59,4274389,0,0,0,2994686,222854957,0,17994,0,459305,28039409,9144
249136434,2500862,0,0,291871,21432,136,0,0,1141,0,0,2333753,113,0,268089,0,23669,0,413,0,39527,126,4450850,0,0,0,2994390,227955360,0,17994,0,459492,28679000,23646
254138003,2501269,0,0,300553,21607,52,0,0,1174,0,0,2403884,48,0,292278,0,8227,0,477,0,38630,71,4300945,0,0,0,2993468,233183197,0,17994,0,459648,29333581,8223
259139197,2500979,0,0,298660,23193,78,0,0,1167,0,0,2388589,65,0,288168,0,10427,0,565,0,38679,72,4296613,0,0,0,2994569,238449354,0,17994,0,459722,29992168,10423
264141094,2500125,0,0,297173,31542,106,0,0,1161,0,0,2376451,83,0,279458,0,17632,0,246,0,39409,101,4412507,0,0,0,2993269,243695827,0,17994,0,459888,30648670,17618
269141466,2500158,0,0,291072,21457,0,0,0,1137,0,0,2328576,0,0,0,0,291072,0,0,0,72776,0,8043067,0,0,0,2993549,248668655,0,17994,0,459984,31268780,291071
274150129,2507775,31542,7694,153675,11141,1730,875,127,595,5,239399,1215755,33269,0,1657,0,150291,0,30,0,38550,10627,4492759,0,0,0,2999958,252452385,0,18563,0,470611,31745562,151772
279167416,2510775,40488,8197,35292,6909,6542,625,163,134,11,295870,256581,43689,0,2024,0,30067,0,53,0,9289,17160,1386381,0,0,0,3005064,253578716,0,21471,0,509147,31904481,34920
284168765,2501263,0,0,296448,21635,0,0,0,1158,0,0,2371584,179,0,296269,0,0,0,0,0,37118,191,4133068,0,0,0,2995229,256623547,0,23019,0,528365,32292877,141
289171572,2501888,32368,2435,264029,18810,516,0,128,1031,0,253717,2111067,32662,0,263735,0,0,0,305,0,33067,6009,3700949,0,0,0,2995223,261279658,0,25202,0,560349,32877205,1093
294172769,2501137,36313,3499,259467,20492,156,0,146,1010,0,286073,2074055,36540,0,259240,0,0,0,78,0,32514,6165,3637321,0,0,0,2994504,266570379,0,25308,0,567817,33539139,181
299174881,2501200,1669,635,294522,27311,0,0,7,1150,0,13289,2356176,1669,0,294522,0,0,0,1,0,36817,252,4072797,0,0,0,2993308,271832955,0,25319,0,568572,34198228,3
304176659,2501746,2485,920,302905,21761,16,0,10,1183,0,19418,2422997,2518,0,302872,0,0,0,10,0,37875,478,4186790,0,0,0,2995137,277040609,0,25432,0,577572,34851033,10
309177755,2500905,542,35,305375,25506,4,0,2,1193,0,4238,2442951,549,0,305368,0,0,0,1,0,38178,94,4214754,0,0,0,2994117,282159305,0,25592,0,588983,35492681,3
314179403,2501044,2664,200,305806,25391,8,0,11,1194,0,21067,2446339,2679,0,305791,0,0,0,6,0,38231,386,4216460,0,0,0,2993546,287521486,0,25606,0,590168,36160627,4
319182003,2501883,59208,5932,215518,15630,442,0,232,842,0,464214,1719180,59884,0,214715,0,127,0,253,0,27205,10809,3154915,0,0,0,2994689,292495858,0,25857,0,605303,36785846,344
324183441,2501044,1480,111,301352,21414,16,0,6,1177,0,11602,2410623,1507,0,301145,0,180,0,8,0,37703,320,4160488,0,0,0,2992925,297820817,0,25873,0,606275,37452108,188
329184799,2501140,106190,9741,143472,10894,642,29,422,553,1,833840,1141075,107097,0,142565,0,0,0,385,0,18290,19108,2259077,0,0,0,2994582,302737734,0,26198,0,626098,38071415,346
334187441,2502305,4821,275,299012,23215,38,0,15,1172,0,37763,2391733,4870,0,298948,0,15,0,20,0,37404,865,4149262,0,0,0,2995652,308141554,0,26232,0,628184,38748465,35
339190324,2501361,27070,1910,270504,22009,160,0,105,1058,0,213081,2162654,27256,0,270277,0,41,0,74,0,33888,4689,3769734,0,0,0,2995141,313012492,0,26547,0,649002,39362166,149
344192907,2500643,6754,459,296554,21712,48,0,24,1161,0,52982,2371935,6821,0,296487,0,0,0,28,0,37100,1331,4108742,0,0,0,2993755,318338309,0,26583,0,651075,40029115,24
349195657,2502398,181871,14626,43665,3048,902,0,717,166,0,1430111,339495,183202,0,42282,0,52,0,573,0,5984,33333,989863,0,0,0,2995466,323082655,0,27121,0,685275,40627593,551
357163168,2501610,0,0,349071,25776,70,0,0,1363,0,0,2791961,53,0,338203,0,10815,0,501,0,38416,61,4266144,0,0,0,2993190,331716853,0,27156,0,687987,41707998,10806
362164196,2500743,0,0,291615,21445,136,0,0,1140,0,0,2331705,113,0,267833,0,23669,0,413,0,39495,126,4464442,0,0,0,2993667,336796000,0,27156,0,688180,42344302,23646
367164830,2500089,0,0,294921,21731,52,0,0,1152,0,0,2358828,48,0,286646,0,8227,0,477,0,37927,69,4195492,0,0,0,2993712,341950109,0,27156,0,688339,42989454,8223
