timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,read_cycles_samples,write_cycles_samples,flush_cycles_samples,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
143856768,2501426,0,0,294645,21220,34,0,0,1151,0,0,2356858,26,0,289962,0,4657,0,250,0,37434,31,4191146,0,0,0,2995146,123542643,0,8871,0,230680,15548474,4654
148858254,2501135,0,0,292431,21023,78,0,0,1142,0,0,2338757,65,0,282623,0,9743,0,394,0,37814,72,4227982,0,0,0,2994605,128543378,0,8871,0,230822,16176400,9739
153860160,2500723,0,0,292241,22061,54,0,0,1142,0,0,2337480,40,0,283080,0,9121,0,84,0,37697,40,4239650,0,0,0,2993788,133566952,0,8871,0,230927,16806143,9111
158862816,2500480,0,0,287474,20740,44,0,0,1123,0,0,2299381,37,0,106827,0,180610,0,248,0,58542,42,6589664,0,0,0,2993229,138418991,0,8871,0,231083,17414551,180606
163865603,2501023,0,0,293888,21285,0,0,0,1148,0,0,2351104,0,0,0,0,293888,0,0,0,73507,0,8443864,0,0,0,2994263,143121199,0,8871,0,231083,18001399,293887
168872250,2504759,44058,8932,33514,4553,5566,2491,172,138,4,327997,241918,47344,0,2107,0,28121,0,29,0,8807,16767,1332299,0,0,0,2998746,144434839,0,11318,0,266403,18182228,31910
173874669,2500682,35104,3428,135405,13207,1490,316,140,525,4,253555,1068873,37023,0,121569,0,11917,0,10,0,18925,14136,2241932,0,0,0,2994138,146287867,0,13764,0,299336,18431488,15113
178876837,2500436,43961,4556,223009,15928,538,20,168,874,1,328381,1782683,44424,0,222274,0,272,0,281,0,28042,12233,3201008,0,0,0,2994116,150807418,0,15808,0,326317,19001646,8073
183879677,2501267,1180,98,301405,21994,8,0,5,1177,0,9286,2411148,1192,0,301393,0,0,0,3,0,37686,207,4177273,0,0,0,2994484,155904020,0,15935,0,333673,19641529,6
188881420,2500890,641,58,298360,26507,6,0,3,1165,0,4932,2386838,647,0,298354,0,0,0,4,0,37300,131,4144775,0,0,0,2994691,161054978,0,16022,0,340220,20287626,4
193884087,2501419,14148,1200,279145,22525,80,0,55,1091,0,111294,2232284,14264,0,279029,0,0,0,43,0,34943,2479,3934871,0,0,0,2995298,166074548,0,16137,0,348995,20916095,47
198885636,2500225,63471,5222,190272,13878,442,49,253,737,2,498486,1517661,64084,0,189659,0,0,0,244,0,24043,11409,2823804,0,0,0,2992328,170973876,0,16336,0,360642,21531970,229
203887584,2501129,4635,682,294087,25446,30,0,18,1149,0,36548,2352371,4678,0,293883,0,161,0,15,0,36804,776,4092056,0,0,0,2994294,176096704,0,16350,0,361519,22173719,175
208888986,2500138,1799,107,301804,28926,10,0,6,1180,0,14196,2414291,1818,0,301785,0,0,0,8,0,37735,319,4195049,0,0,0,2993858,181275221,0,16359,0,362239,22822486,5
213891730,2501287,1461,114,299833,25772,18,0,6,1171,0,11450,2398457,1490,0,299804,0,0,0,9,0,37489,302,4163849,0,0,0,2992420,186077413,0,16583,0,377282,23426840,9
218894042,2500119,3635,234,300981,23594,22,0,13,1177,0,28576,2407570,3673,0,300833,0,110,0,13,0,37649,680,4173786,0,0,0,2991275,191254531,0,16603,0,378641,24075541,122
223895228,2500742,4877,347,299477,23367,28,0,19,1170,0,38113,2395577,4910,0,298832,0,612,0,16,0,37527,885,4156913,0,0,0,2993204,196117792,0,16895,0,398477,24686944,626
228897639,2500129,28693,2953,264506,23828,170,0,117,1029,0,225498,2114200,28945,0,264071,0,183,0,92,0,33176,5157,3713796,0,0,0,2992636,201300644,0,16994,0,404856,25337013,269
233898215,2500114,2963,217,303712,24660,10,0,12,1186,0,23095,2429615,2974,0,303701,0,0,0,8,0,37971,529,4179193,0,0,0,2992231,206234031,0,17219,0,420720,25957781,7
238899158,2500905,2125,184,302244,26587,12,0,10,1179,0,16629,2417861,2138,0,302111,0,120,0,9,0,37805,374,4192947,0,0,0,2993802,211477605,0,17251,0,423021,26613887,125
243901426,2501177,55407,4738,226371,16058,298,0,219,882,0,434912,1807825,55832,0,225894,0,52,0,185,0,28472,10144,3235999,0,0,0,2994937,216120985,0,17767,0,457518,27200886,208
250204954,2501104,0,0,291719,21520,70,0,0,1140,0,0,2333145,53,0,282513,0,9153,0,86,0,37652,70,4234841,0,0,0,2994332,222654253,0,17786,0,459053,28017575,9144
255207071,2501166,0,0,275487,22911,136,0,0,1076,0,0,2202681,113,0,251705,0,23669,0,413,0,37480,133,4300983,0,0,0,2994709,227478176,0,17786,0,459245,28619523,23646
260209148,2501646,0,0,292085,21230,34,0,0,1141,0,0,2336378,26,0,287402,0,4657,0,250,0,37114,31,4159547,0,0,0,2995218,232465203,0,17786,0,459332,29244116,4654
265210084,2500148,0,0,293199,20973,78,0,0,1145,0,0,2344901,65,0,283391,0,9743,0,394,0,37909,72,4257747,0,0,0,2993211,237437266,0,17786,0,459474,29868128,9739
270213775,2500998,0,0,296739,21290,54,22,0,1159,1,0,2373464,40,0,286860,0,9839,0,194,0,38349,40,4280609,0,0,0,2992727,242521400,0,17786,0,459583,30505396,9829
275218172,2502342,0,0,285170,22193,44,0,0,1114,0,0,2280949,37,0,78923,0,206210,0,248,0,61454,42,7316792,0,0,0,2995402,247413231,0,17786,0,459744,31118350,206206
280218633,2500454,0,0,288768,22881,0,0,0,1128,0,0,2310144,0,0,0,0,288768,0,0,0,72218,0,8061182,0,0,0,2993058,252056047,0,17786,0,459744,31695901,288767
285222957,2500931,40073,7047,35278,6702,6426,247,151,145,11,298353,256520,43253,0,2275,0,29823,0,28,0,9241,15427,1407345,0,0,0,2994534,253255306,0,20288,0,494835,31861630,33843
290233254,2502446,31889,7998,147895,12995,1374,95,130,570,5,229309,1169974,33833,0,135162,0,10789,0,9,0,20288,13458,2385469,0,0,0,2996344,255187899,0,22786,0,527329,32120047,13970
295236219,2501075,35270,5503,242800,17274,438,0,142,945,0,264646,1941311,35696,0,242194,0,180,0,239,0,30489,9205,3452625,0,0,0,2994572,259758650,0,24820,0,553938,32691140,5914
