timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
330060057,7001751,0,0,906290,265678,0,0,0,7250320,0,0,892834,0,13456,0,2510,0,114972,0,0,0,0,0,0,347160328,0,0,0,0,0,13460
340061845,7001113,0,0,890425,253532,0,0,0,7123400,0,0,877534,0,12891,0,4295,0,112919,0,0,0,0,0,0,357585104,0,0,0,0,0,12894
350063163,7001224,0,0,921782,94054,0,0,0,7374256,0,0,916972,0,4810,0,4170,0,115825,0,0,0,0,0,0,368232064,0,0,0,0,0,4814
360065772,7000117,0,0,898902,316806,0,0,0,7191216,0,0,882824,0,16078,0,4266,0,114379,0,0,0,0,0,0,378646832,0,0,0,0,0,16081
370067406,7000644,0,0,899969,158700,0,0,0,7199752,0,0,891810,0,8159,0,127,0,113524,0,0,0,0,0,0,389084472,0,0,0,0,0,8161
380069411,7000825,0,0,924160,0,0,0,0,7393280,0,0,924160,0,0,0,2048,0,115525,0,0,0,0,0,0,399663448,0,0,0,0,0,3
390071132,7001079,0,0,917186,239382,0,0,0,7337488,0,0,905018,0,12168,0,1342,0,116176,0,0,0,0,0,0,410267496,0,0,0,0,0,12171
400074753,7000913,0,0,928256,0,0,0,0,7426048,0,0,928256,0,0,0,2048,0,116035,0,0,0,0,0,0,420684048,0,0,0,0,0,3
410077326,7001184,0,0,921344,0,0,0,0,7370752,0,0,921344,0,0,0,8192,0,115173,0,0,0,0,0,0,431351984,0,0,0,0,0,2
420079332,7001125,0,0,911813,399354,0,0,0,7294504,0,0,891531,0,20282,0,6459,0,116516,0,0,0,0,0,0,441817032,0,0,0,0,0,20283
430079781,7000285,52780,0,765620,378394,0,0,422240,6124960,52780,0,746410,0,19210,0,62240,0,98112,0,0,0,0,0,0,451665608,0,0,0,0,0,19623
442588240,7001902,0,0,907217,58804,0,0,0,7257736,0,0,904211,0,3006,0,2095,0,113781,0,0,0,0,0,0,463649888,0,0,0,0,0,3009
452588961,7000063,0,0,899328,0,0,0,0,7194624,0,0,899328,0,0,0,2048,0,112421,0,0,0,0,0,0,473724912,0,0,0,0,0,3
462595963,7001827,0,0,891663,125204,0,0,0,7133304,0,0,885244,0,6419,0,2545,0,112266,0,0,0,0,0,0,483651944,0,0,0,0,0,6422
472598657,7000950,0,0,908961,119420,0,0,0,7271688,0,0,902876,0,6085,0,4191,0,114388,0,0,0,0,0,0,494069360,0,0,0,0,0,6088
482601792,7001814,0,0,920055,12734,0,0,0,7360440,0,0,919415,0,640,0,2057,0,115088,0,0,0,0,0,0,504645160,0,0,0,0,0,646
492604270,7001346,0,0,895660,109622,0,0,0,7165280,0,0,890262,0,5398,0,2132,0,112638,0,0,0,0,0,0,515050376,0,0,0,0,0,5402
502607697,7001590,0,0,914432,0,0,0,0,7315456,0,0,914432,0,0,0,2048,0,114306,0,0,0,0,0,0,525509512,0,0,0,0,0,3
512608288,7000116,0,0,921441,196202,0,0,0,7371528,0,0,911226,0,10215,0,2207,0,116461,0,0,0,0,0,0,536020016,0,0,0,0,0,10219
522608811,7000269,0,0,918784,0,0,0,0,7350272,0,0,918784,0,0,0,4096,0,114862,0,0,0,0,0,0,546661424,0,0,0,0,0,3
532610498,7001200,0,0,929502,43156,0,0,0,7436016,0,0,927322,0,2180,0,4130,0,116462,0,0,0,0,0,0,557423392,0,0,0,0,0,2182
542611662,7000311,0,0,929243,46124,0,0,0,7433944,0,0,926823,0,2420,0,37,0,116462,0,0,0,0,0,0,568070648,0,0,0,0,0,2424
552613121,7000283,0,0,916931,74906,0,0,0,7335448,0,0,913021,0,3910,0,61,0,115113,0,0,0,0,0,0,578643984,0,0,0,0,0,3914
562614482,7001306,0,0,924372,55550,0,0,0,7394976,0,0,921501,0,2871,0,4140,0,115908,0,0,0,0,0,0,589250224,0,0,0,0,0,2874
572614969,7000244,0,0,930560,0,0,0,0,7444480,0,0,930560,0,0,0,4096,0,116323,0,0,0,0,0,0,600014512,0,0,0,0,0,2
582616028,7000353,0,0,916411,87184,0,0,0,7331288,0,0,911936,0,4475,0,2117,0,115115,0,0,0,0,0,0,610667656,0,0,0,0,0,4478
592617595,7000478,0,0,930816,0,0,0,0,7446528,0,0,930816,0,0,0,2048,0,116355,0,0,0,0,0,0,621438088,0,0,0,0,0,4
602619894,7000512,0,0,913408,0,0,0,0,7307264,0,0,913408,0,0,0,4096,0,114183,0,0,0,0,0,0,631913272,0,0,0,0,0,4
612620698,7000024,0,0,907712,85238,0,0,0,7261696,0,0,903616,0,4096,0,64,0,113980,0,0,0,0,0,0,642240248,0,0,0,0,0,4099
622622805,7000586,0,0,925108,97014,0,0,0,7400864,0,0,920189,0,4919,0,2124,0,116256,0,0,0,0,0,0,653024408,0,0,0,0,0,4922
632625465,7000711,0,0,886725,75448,0,0,0,7093800,0,0,882898,0,3827,0,4155,0,111322,0,0,0,0,0,0,663442112,0,0,0,0,0,3831
642628510,7001977,0,0,913408,0,0,0,0,7307264,0,0,913408,0,0,0,4096,0,114181,0,0,0,0,0,0,674134720,0,0,0,0,0,4
652630526,7000093,0,0,929536,0,0,0,0,7436288,0,0,929536,0,0,0,4096,0,116196,0,0,0,0,0,0,684792512,0,0,0,0,0,2
662631334,7000594,0,0,907130,167866,0,0,0,7257040,0,0,898524,0,8606,0,2182,0,114473,0,0,0,0,0,0,695344784,0,0,0,0,0,8608
672634304,7001427,0,0,919765,54622,0,0,0,7358120,0,0,916991,0,2774,0,2091,0,115323,0,0,0,0,0,0,705932600,0,0,0,0,0,2776
682638677,7000832,0,0,919947,147820,0,0,0,7359576,0,0,912430,0,7517,0,2165,0,115940,0,0,0,0,0,0,716351024,0,0,0,0,0,7521
692638894,7000213,0,0,916521,203152,0,0,0,7332168,0,0,906194,0,10327,0,1239,0,115861,0,0,0,0,0,0,726972280,0,0,0,0,0,10331
702640710,7000560,0,0,925433,9450,0,0,0,7403464,0,0,924965,0,468,0,7,0,115747,0,0,0,0,0,0,737665200,0,0,0,0,0,471
712641852,7000658,0,0,909015,372300,0,0,0,7272120,0,0,889903,0,19112,0,2345,0,116022,0,0,0,0,0,0,748134248,0,0,0,0,0,19115
722644350,7000666,0,0,921202,163458,0,0,0,7369616,0,0,912859,0,8343,0,2446,0,116197,0,0,0,0,0,0,758848248,0,0,0,0,0,8345
732645589,7000062,0,0,876461,648286,0,0,0,7011688,0,0,844633,0,31828,0,595,0,113545,0,0,0,0,0,0,769177696,0,0,0,0,0,31831
742647228,7000577,0,0,924652,25236,0,0,0,7397216,0,0,923372,0,1280,0,20,0,115746,0,0,0,0,0,0,779689424,0,0,0,0,0,1284
752651316,7002199,0,0,912930,281220,0,0,0,7303440,0,0,898663,0,14267,0,2270,0,115903,0,0,0,0,0,0,790267616,0,0,0,0,0,14271
762654038,7001177,0,0,893490,269228,0,0,0,7147920,0,0,880034,0,13456,0,2510,0,113376,0,0,0,0,0,0,800692336,0,0,0,0,0,13460
772655010,7000369,0,0,906297,246788,0,0,0,7250376,0,0,893406,0,12891,0,4295,0,114903,0,0,0,0,0,0,811258424,0,0,0,0,0,12894
782656219,7000306,0,0,894134,94776,0,0,0,7153072,0,0,889324,0,4810,0,4170,0,112387,0,0,0,0,0,0,821776360,0,0,0,0,0,4814
792657015,7000495,0,0,890198,309378,0,0,0,7121584,0,0,874120,0,16078,0,4266,0,113295,0,0,0,0,0,0,832164504,0,0,0,0,0,16081
802657305,7000211,0,0,920193,161162,0,0,0,7361544,0,0,912034,0,8159,0,127,0,116051,0,0,0,0,0,0,842821280,0,0,0,0,0,8161
812659391,7001132,0,0,928768,0,0,0,0,7430144,0,0,928768,0,0,0,2048,0,116099,0,0,0,0,0,0,853375680,0,0,0,0,0,3
822661897,7001162,0,0,891016,309280,0,0,0,7128128,0,0,875106,0,15910,0,3448,0,113374,0,0,0,0,0,0,863753984,0,0,0,0,0,15913
832662779,7000554,0,0,933632,0,0,0,0,7469056,0,0,933632,0,0,0,2048,0,116708,0,0,0,0,0,0,874289784,0,0,0,0,0,2
842666513,7001283,0,0,917248,0,0,0,0,7337984,0,0,917248,0,0,0,8192,0,114660,0,0,0,0,0,0,884970008,0,0,0,0,0,2
852675233,7000931,0,0,891469,223950,0,0,0,7131752,0,0,879958,0,11511,0,6323,0,112879,0,0,0,0,0,0,894974256,0,0,0,0,0,11512
862678150,7001259,49847,0,769588,384686,0,0,398776,6156704,49847,0,750378,0,19210,0,59413,0,98608,0,0,0,0,0,0,904812680,0,0,0,0,0,19603
875283221,7000657,0,0,900577,39448,0,0,0,7204616,0,0,898579,0,1998,0,2079,0,112828,0,0,0,0,0,0,916796872,0,0,0,0,0,2001
885286042,7002079,0,0,897024,0,0,0,0,7176192,0,0,897024,0,0,0,2048,0,112134,0,0,0,0,0,0,926832984,0,0,0,0,0,3
895288420,7001535,0,0,872396,216540,0,0,0,6979168,0,0,861692,0,10704,0,2612,0,110395,0,0,0,0,0,0,936655568,0,0,0,0,0,10707
905289552,7000061,0,0,900001,118554,0,0,0,7200008,0,0,893916,0,6085,0,4191,0,113267,0,0,0,0,0,0,946966488,0,0,0,0,0,6088
915290078,7000384,0,0,910071,12704,0,0,0,7280568,0,0,909431,0,640,0,2057,0,113842,0,0,0,0,0,0,957443984,0,0,0,0,0,646
